# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.88 3.13 3.40
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4096	2048	8388608	multi-pass-split	1024	2	-	1	0	3	30	64	711.708	739.584	852.500	57.677	35792.875	36011.459	36107.708	92.974	556.8439	559.8710	2.3913	measured
4096	2048	8388608	single-workgroup-tree	2	1024	-	2	16	2	30	64	618.000	650.250	745.666	42.203	30131.000	30306.750	30371.083	71.673	468.4603	470.7381	1.8075	measured
4096	2048	8388608	single-workgroup-tree	4	512	-	4	16	2	30	64	600.500	622.250	689.875	33.347	28439.750	28562.875	28633.583	53.855	441.8929	443.5020	1.3842	measured
4096	2048	8388608	single-workgroup-tree	8	256	-	8	32	2	30	64	591.167	612.125	726.250	51.934	27854.959	28031.250	28106.083	62.292	432.7586	435.2242	1.8131	measured
4096	2048	8388608	single-workgroup-tree	16	128	-	16	64	2	30	64	597.000	628.166	729.250	54.039	28027.833	28210.875	28307.959	79.040	435.4100	437.8208	2.1124	measured
4096	2048	8388608	single-workgroup-tree	32	64	-	32	128	2	30	64	595.667	631.334	730.958	48.840	28110.875	28193.709	28265.167	56.884	436.7493	437.4980	1.6782	measured
4096	2048	8388608	single-workgroup-tree	64	32	governed	64	256	2	30	64	595.625	621.458	723.250	48.371	28499.666	28625.125	28691.875	59.153	442.9213	444.5027	1.7067	measured
4096	2048	8388608	single-workgroup-tree	128	16	-	128	512	2	30	64	590.958	628.916	729.250	53.745	28248.458	28352.000	28446.916	86.192	439.0079	440.0490	2.2212	measured
4096	2048	8388608	single-workgroup-tree	256	8	-	256	1024	2	30	64	574.792	618.500	696.875	43.803	27487.125	27573.541	27654.292	56.714	427.1799	427.8578	1.5955	measured
4096	2048	8388608	single-workgroup-tree	512	4	-	512	2048	2	30	64	582.958	614.625	726.541	54.679	27818.667	27940.667	28028.333	61.956	432.3128	433.7467	1.8513	measured
