layer	position	rank	lane	value_hex	value
20	9	1	7	0xc213337b	-36.80027389526367
20	9	2	45	0x41f41d19	30.51420783996582
20	9	3	13	0x41f04f32	30.03866958618164
20	10	0	35	0x42eb8734	117.76406860351562
20	10	1	7	0xc2428ccf	-48.637508392333984
20	10	2	13	0x421c7ac7	39.11989974975586
20	10	3	18	0x41c5761d	24.68267250061035
20	11	0	35	0x42c0dc1c	96.42990112304688
20	11	1	13	0x422c2a5a	43.041358947753906
20	11	2	277	0x42173589	37.80228042602539
20	11	3	2	0x42077f7b	33.87449264526367
20	12	0	35	0x429f3994	79.61245727539062
20	12	1	13	0x42186a78	38.103973388671875
20	12	2	7	0xc2030dd6	-32.763511657714844
20	12	3	2	0x41f38c7d	30.4435977935791
20	13	0	35	0x42e27659	113.23114776611328
20	13	1	13	0x4224c19e	41.18907928466797
20	13	2	18	0x4203f343	32.9875602722168
20	13	3	277	0x41ff9115	31.94584083557129
20	14	0	35	0x42cba987	101.83110809326172
20	14	1	2	0x42042387	33.03469467163086
20	14	2	7	0xc202412f	-32.563655853271484
20	14	3	13	0x42012fd2	32.29669952392578
20	15	0	35	0x42beccdc	95.40011596679688
20	15	1	7	0xc225f50c	-41.48930358886719
20	15	2	18	0x4204446b	33.06681442260742
20	15	3	2	0x41fd46cd	31.659570693969727
20	16	0	35	0x42d67f42	107.24855041503906
20	16	1	7	0xc23d2434	-47.28535461425781
20	16	2	2	0x42222d0e	40.54399871826172
20	16	3	13	0x4217b6f0	37.92864990234375
20	17	0	35	0x42b10735	88.51407623291016
20	17	1	2	0x422c56aa	43.084632873535156
20	17	2	13	0x4219960a	38.396522521972656
20	17	3	7	0xc200eb9a	-32.230079650878906
21	0	0	35	0x45c8e6e2	6428.8603515625
21	0	1	13	0x44202528	640.58056640625
21	0	2	1	0x43bc0603	376.0469665527344
21	0	3	277	0xc31af752	-154.96609497070312
21	1	0	35	0x42da5428	109.16436767578125
21	1	1	13	0x42316d3e	44.35668182373047
21	1	2	277	0x422f1352	43.76886749267578
21	1	3	62	0xc2218ea0	-40.3892822265625
21	2	0	35	0x429b130f	77.53722381591797
21	2	1	62	0xc20cd323	-35.2061882019043
21	2	2	13	0x42014654	32.31867980957031
21	2	3	265	0x41ec6641	29.549928665161133
21	3	0	35	0x42ca53fc	101.16403198242188
21	3	1	13	0x420cfb5b	35.24546432495117
21	3	2	18	0x41fac96a	31.348346710205078
21	3	3	277	0x41e4513c	28.53966522216797
21	4	0	35	0x42bb4ccb	93.64998626708984
21	4	1	91	0xc1f151c4	-30.16492462158203
21	4	2	18	0x41edc7e5	29.722604751586914
21	4	3	122	0xc1ecb4a3	-29.58820152282715
21	5	0	35	0x42208227	40.12710189819336
21	5	1	13	0x41d78f96	26.945110321044922
21	5	2	18	0x41d1a738	26.206649780273438
21	5	3	7	0xc1c91301	-25.134279251098633
21	6	0	35	0x42aa0de1	85.02710723876953
21	6	1	7	0xc2175591	-37.833560943603516
21	6	2	13	0x42156004	37.34376525878906
21	6	3	2	0x41ee348c	29.775657653808594
21	7	0	35	0x42a015c5	80.04251861572266
21	7	1	13	0x423810e7	46.01650619506836
21	7	2	18	0x41e19d36	28.201763153076172
21	7	3	277	0x41dd47ce	27.66006088256836
21	8	0	35	0x430ba580	139.646484375
21	8	1	13	0x4249bbfe	50.43358612060547
21	8	2	45	0x41ef7b07	29.93507194519043
21	8	3	18	0x41e05df3	28.045873641967773
21	9	0	35	0x431cc7e2	156.78079223632812
21	9	1	13	0x42785414	62.08210754394531
21	9	2	7	0xc2353d5f	-45.309932708740234
21	9	3	45	0x420f0779	35.75729751586914
21	10	0	35	0x43184895	152.2835235595703
21	10	1	13	0x4296e2fe	75.44334411621094
21	10	2	7	0xc2654a52	-57.32257843017578
21	10	3	2	0x421d08ea	39.258705139160156
21	11	0	35	0x43034e60	131.30615234375
21	11	1	13	0x42ab6567	85.69805145263672
21	11	2	277	0x423f2ba3	47.7926139831543
21	11	3	2	0x423a8d1e	46.63780975341797
21	12	0	35	0x42d6a448	107.32086181640625
21	12	1	13	0x4292ca62	73.39527893066406
21	12	2	2	0x42240398	41.003509521484375
21	12	3	7	0xc2218e4c	-40.38896179199219
21	13	0	35	0x430da79c	141.65472412109375
21	13	1	13	0x429fc6c6	79.88822937011719
21	13	2	2	0x423723a4	45.78480529785156
21	13	3	277	0x4228818d	42.12651443481445
21	14	0	35	0x42f49c72	122.30555725097656
21	14	1	13	0x428d8def	70.77721405029297
21	14	2	2	0x422b91e8	42.892486572265625
21	14	3	7	0xc21e33d2	-39.55060577392578
21	15	0	35	0x42ea5923	117.1740951538086
21	15	1	13	0x42593a93	54.30720138549805
21	15	2	7	0xc252b191	-52.673404693603516
21	15	3	2	0x4221ddec	40.46672058105469
21	16	0	35	0x4307e24e	135.88400268554688
21	16	1	13	0x4287712d	67.7210464477539
21	16	2	7	0xc26476fa	-57.116188049316406
21	16	3	2	0x424a3858	50.555023193359375
21	17	0	35	0x42d9eed6	108.96647644042969
21	17	1	13	0x429729a1	75.58130645751953
21	17	2	2	0x4258c5cc	54.19316101074219
21	17	3	7	0xc222863d	-40.6310920715332
22	0	0	35	0x45c90f74	6433.931640625
22	0	1	13	0x44220478	648.06982421875
22	0	2	1	0x43bceb8d	377.8402404785156
22	0	3	277	0xc319f5f5	-153.9607696533203
22	1	0	35	0x431c7d58	156.4896240234375
22	1	1	13	0x42a5bf80	82.8740234375
22	1	2	62	0xc243c686	-48.943870544433594
22	1	3	277	0x4242c2ea	48.690345764160156
22	2	0	35	0x42deef91	111.46790313720703
