sample_index	series_key	observation_index	duration_ns
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	31	7765250
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	32	7771208
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	33	7753542
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	34	7760875
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	35	7756583
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	36	7753542
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	37	7763584
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	38	7750333
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	39	7756333
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	40	7781625
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	41	7770125
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	42	7753584
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	43	7761333
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	44	7757208
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	45	7751125
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	46	7761625
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	47	7766916
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	48	7768375
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	49	7765667
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	0	13322959
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	1	13317666
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	2	13309459
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	3	13305667
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	4	13303916
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	5	13294875
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	6	13313125
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	7	13315083
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	8	13310750
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	9	13295791
